"","Source","Sample.ID","Spot.Bulk","age","group","group.age","d34s","d33s","d36s","D33S","D36S","an","Phase","Craton","Supergroup","Formation","Core","Date","simp.lith"
"1","Roerdink et al., 2016","11-ROV09-D-mt_M04_b","Spot",0,"[-25,25)",0,0.157621428571429,0.10652537326959,0.591549424355105,0.0254982807142857,0.291056225357143,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"2","Roerdink et al., 2016","11-ROV09-C-mt_M04_b","Spot",0,"[-25,25)",0,0.50816,0.274180602764166,0.96607439471423,0.0127091,-0.00101142,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"3","Roerdink et al., 2016","11-ROV09-B-mt_M03","Spot",0,"[-25,25)",0,0.77025,0.374902095680822,1.36054357544266,-0.0216083333333333,-0.104084116666667,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"4","Roerdink et al., 2016","11-ROV09-C-mt_M04_b","Spot",0,"[-25,25)",0,0.50816,0.274180602764166,0.96607439471423,0.0127091,-0.00101142,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"5","Bontognali et al., 2012","MON","Spot",11,"[-25,25)",0,27.1428571428571,13.6298471422422,NA,-0.257142857142857,NA,"Spot","Organic S","North American","Los Angeles Basin","Monterey",NA,2012,"Low Energy Siliciclastic"
"6","Bontognali et al., 2012","MON","Spot",11,"[-25,25)",0,27.1428571428571,13.6298471422422,NA,-0.257142857142857,NA,"Spot","Organic S","North American","Los Angeles Basin","Monterey",NA,2012,"Low Energy Siliciclastic"
"7","Roerdink et al., 2016","11-ROV09-C-mt_M04_b","Spot",0,"[-25,25)",0,0.50816,0.274180602764166,0.96607439471423,0.0127091,-0.00101142,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"8","Roerdink et al., 2016","11-ROV09-D-mt_M04_b","Spot",0,"[-25,25)",0,0.157621428571429,0.10652537326959,0.591549424355105,0.0254982807142857,0.291056225357143,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"9","Roerdink et al., 2016","11-ROV09-D-mt_M04_b","Spot",0,"[-25,25)",0,0.157621428571429,0.10652537326959,0.591549424355105,0.0254982807142857,0.291056225357143,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
"10","Roerdink et al., 2016","11-ROV09-D-mt_M04_b","Spot",0,"[-25,25)",0,0.157621428571429,0.10652537326959,0.591549424355105,0.0254982807142857,0.291056225357143,"Spot","Sulfide","Mid Ocean Ridge",NA,"Jan Mayen hydrothermal vent field on the Arctic Mid-Ocean Ridge","Surface",2016,"Sulfates"
