"","Source","Sample.ID","Spot.Bulk","age.mean","group","group.age","d34s","d33s","d36s","D33S","D36S","an","Phase","Craton","Supergroup","Formation","Core","Date","simp.lith","Era"
"1","Bao et al., 2007","CQB-3","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,5.385,2.29966310542326,NA,-0.47,NA,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"2","Bao et al., 2007","CQB-4","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.987,1.87520667039339,10.9965604645481,-0.69,1.5,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"3","Bao et al., 2007","CQB-8","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.622,1.87766812934614,9.80006245532106,-0.5,1,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"4","Bao et al., 2007","S7-5-3","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,3.653,1.36963145681325,7.45210808179514,-0.51,0.5,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"5","Bao et al., 2007","S7-5-5","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.604,1.73841879839678,10.3657204998757,-0.63,1.6,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"6","Bao et al., 2007","S8-3-a","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,5.919,2.73392239376128,12.6760486492185,-0.31,1.4,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"7","Bao et al., 2007","S8-3-c","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,5.772,2.2984310954361,12.4952796944524,-0.67,1.5,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"8","Bao et al., 2007","S8-3-f","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,6.512,2.97840100526934,14.6090493969347,-0.37,2.2,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"9","Bao et al., 2007","S8-4-1","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,5.508,2.31284144995344,11.4911342895084,-0.52,1,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"10","Bao et al., 2007","S8-4-4","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.187,1.50412012701166,8.47028688893753,-0.65,0.5,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"11","Bao et al., 2007","SAF 206-9","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.23,1.64622006710805,7.6522962749261,-0.53,-0.4,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"12","Bao et al., 2007","SAF-16-115","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.257,1.63009653911573,NA,-0.56,NA,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"13","Bao et al., 2007","SAF-16-22","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,3.62,1.30266635024657,7.18920291136275,-0.56,0.3,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"14","Bao et al., 2007","SAF-16-23","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,3.61,1.28752535544892,7.37014110602124,-0.57,0.5,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"15","Bao et al., 2007","SAF-474-28","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,5.804,2.41486503097806,12.7563963223471,-0.57,1.7,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"16","Bao et al., 2007","SAF-483-28","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,6.762,2.9167385975194,14.4868857750435,-0.56,1.6,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"17","Bao et al., 2007","SAF-485-14","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.365,1.59560061780998,10.0097881399461,-0.65,1.7,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"18","Bao et al., 2007","SAF-9-6","Bulk",3242.5,"[3.22e+03,3.28e+03)",3245,4.33,1.79761350195255,8.34302799854193,-0.43,0.1,"Bulk","Sulfate","Kaapvaal","Barberton","Mapepe","Outcrop",2007,"Sulfates","Paleoarchean"
"19","Baumgartner et al., 2020","PDP2-89","Spot",3481,"[3.48e+03,3.52e+03)",3505,-2.93447566013308,-1.94730144383139,-3.12808011348762,-0.433954840231939,0.382465526349057,"Spot","Sulfide","Pilbara","Pilbara","Dresser","PDP2",2020,"Microbial","Paleoarchean"
"20","Bekker et al., 2004","EBA2/30","Spot",2313,"[2.28e+03,2.32e+03)",2305,-26.1333333333333,-13.4817599681129,NA,0.0633333333333333,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Timeball Hill","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
"21","Bekker et al., 2004","EBA2/34","Spot",2313,"[2.28e+03,2.32e+03)",2305,-33.74,-17.4968890432401,NA,0.024,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Timeball Hill","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
"22","Bekker et al., 2004","EBA2/38","Spot",2313,"[2.28e+03,2.32e+03)",2305,-32.34,-16.9229325637186,NA,-0.135,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Timeball Hill","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
"23","Bekker et al., 2004","EBA2/55","Spot",2372,"[2.32e+03,2.38e+03)",2345,-29.765,-15.356289893987,NA,0.085,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Rooihoogte","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
"24","Bekker et al., 2004","EBA2/59","Spot",2372,"[2.32e+03,2.38e+03)",2345,-25.945,-13.1568426480578,NA,0.29,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Rooihoogte","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
"25","Bekker et al., 2004","EBA2/60","Spot",2372,"[2.32e+03,2.38e+03)",2345,-29.895,-15.4192601262437,NA,0.09,NA,"Spot","Sulfide","Kaapvaal","Transvaal","Rooihoogte","EBA2",2004,"Low Energy Siliciclastic","Paleoproterozoic"
